,countryid,Age,publisherID,Raiting
0,1,51.0,1620,0
1,4,38.0,1620,0
2,5,22.0,2388,0
3,3,27.0,678,0
4,1,36.145784179808764,613,0
5,1,36.145784179808764,3244,0
6,1,31.0,1438,0
7,1,16.0,2077,0
8,1,39.0,1,0
9,7,22.0,1125,0
10,1,36.145784179808764,1791,0
11,1,24.0,1272,0
12,4,38.0,1620,0
13,5,22.0,2388,0
14,9,36.145784179808764,1268,0
15,1,31.0,325,0
16,5,29.0,1272,0
17,3,27.0,224,0
18,1,25.0,2389,0
19,1,36.145784179808764,11320,0
20,7,36.145784179808764,573,0
21,1,31.0,1438,0
22,1,36.145784179808764,1827,0
23,14,34.0,419,0
24,1,36.145784179808764,296,0
25,1,39.0,2388,0
26,7,22.0,1107,0
27,1,51.0,1620,0
28,1,24.0,1272,0
29,1,46.0,1134,0
30,4,38.0,1997,0
31,1,51.0,1037,0
32,5,22.0,522,0
33,9,36.145784179808764,1262,0
34,1,34.0,97,0
35,1,33.0,555,0
36,1,36.145784179808764,1215,0
37,3,27.0,1008,0
38,1,25.0,2389,0
39,4,19.0,545,0
40,1,36.145784179808764,1215,0
41,1,23.0,126,0
42,1,36.145784179808764,1186,0
43,5,32.0,2162,0
44,7,36.145784179808764,1821,0
45,1,39.0,2388,0
46,7,22.0,1114,0
47,1,36.145784179808764,1620,0
48,4,36.145784179808764,1752,0
49,1,46.0,1403,0
50,1,51.0,1033,0
51,1,52.0,369,0
52,5,22.0,2391,0
53,14,23.0,13713,0
54,1,34.0,263,0
55,5,40.0,573,0
56,1,27.0,1800,0
57,1,33.0,554,0
58,12,36.145784179808764,60,0
59,1,31.0,1037,0
60,1,27.0,2388,0
61,1,25.0,1,0
62,1,58.0,1206,0
63,1,23.0,112,0
64,5,32.0,555,0
65,7,36.145784179808764,1821,0
66,1,31.0,1438,0
67,1,36.145784179808764,134,0
68,7,22.0,128,0
69,1,51.0,1620,0
70,1,51.0,1620,0
71,1,51.0,545,0
72,1,42.0,1551,0
73,1,25.0,1059,0
74,1,25.0,1262,0
75,1,25.0,1262,0
76,1,36.145784179808764,455,0
77,1,24.0,1272,0
78,1,46.0,1215,0
79,1,36.145784179808764,2994,0
80,1,52.0,1040,0
81,5,22.0,2388,0
82,1,36.145784179808764,2438,0
83,14,23.0,2388,0
84,9,36.145784179808764,1268,0
85,1,34.0,263,0
86,1,28.0,337,0
87,1,28.0,1391,0
88,1,28.0,1553,0
89,1,27.0,1791,0
90,1,33.0,613,0
91,12,36.145784179808764,445,0
92,1,31.0,3249,0
93,1,27.0,2388,0
94,1,36.145784179808764,1414,0
95,1,25.0,2388,0
96,4,19.0,132,0
97,1,36.145784179808764,1670,0
98,1,23.0,126,0
99,1,36.145784179808764,12373,0
100,5,32.0,2388,0
101,1,31.0,1438,0
